pfr_uid,uid,name
PFR:MartNi00,nickmartin|1993-04-29,Nick Martin
PFR:MarzTy01,tylermarz|1992-09-09,Tyler Marz
PFR:MathDe00,derrickmathews|1992-09-25,Derrick Mathews
PFR:MaysDe00,devantemays|1994-05-26,Devante Mays
PFR:McCaMa01,maxmccaffrey|1994-05-17,Max McCaffrey
PFR:McCaRi00,rileymccarron|1993-06-16,Riley McCarron
PFR:McClSt01,stefanmcclure|1993-01-31,Stefan McClure
PFR:McCrJu00,justinmccray|1992-05-31,Justin McCray
PFR:McCrMa00,mattmccrane|1994-09-08,Matt McCrane
PFR:McDeCo00,conormcdermott|1992-10-19,Conor McDermott
PFR:McGlMi00,mikemcglinchey|1995-01-12,Mike McGlinchey
PFR:McGoCo00,connormcgovern|1993-04-27,Connor McGovern
PFR:McKiCa01,cassanovamckinzy|1992-11-17,Cassanova McKinzy
PFR:McKiJe01,jeremiahmckinnon|1993-06-29,Jeremiah McKinnon
PFR:McQuLe01,leonmcquayiii|1994-11-21,Leon McQuay III
PFR:McRaTo00,tonymcrae|1993-03-05,Tony McRae
PFR:McTyTo00,torrymctyer|1995-04-10,Torry McTyer
PFR:MeekQu00,quentonmeeks|1996-06-20,Quenton Meeks
PFR:MihaBr00,brianmihalik|1992-08-21,Brian Mihalik
PFR:MillKo00,koltonmiller|1995-10-09,Kolton Miller
PFR:MillZa02,zachmiller|1984-10-04,Zach Miller
PFR:MitcSt02,stevenmitchell|1994-05-02,Steven Mitchell
PFR:MizzTa00,taquanmizzell|1993-10-21,Taquan Mizzell
PFR:MoorA.00,ajmoore|1995-12-15,A.J. Moore
PFR:MoorJM00,jmonmoore|1995-05-23,J'Mon Moore
PFR:MoorKa01,kammoore|1996-10-01,Kam Moore
PFR:MoorSk00,skaimoore|1995-01-08,Skai Moore
PFR:MoseEm00,emmanuelmoseley|1996-03-25,Emmanuel Moseley
PFR:MotoTa00,taylormoton|1994-08-14,Taylor Moton
PFR:MurpRy00,ryanmurphy|1992-10-14,Ryan Murphy
PFR:MurrJi00,jimmymurray|1995-05-05,Jimmy Murray
PFR:MurrJu00,justinmurray|1993-04-19,Justin Murray
PFR:MyriJa00,jalenmyrick|1995-02-27,Jalen Myrick
PFR:NacuKa00,kainacua|1995-03-03,Kai Nacua
PFR:NatsJo00,jojonatson|1994-02-01,JoJo Natson
PFR:NealLe00,lewisneal|1995-05-17,Lewis Neal
PFR:NealRy00,ryanneal|1995-12-24,Ryan Neal
